"analysis","N","events","subclinical_HR","subclinical_lower","subclinical_upper","subclinical_p","albuminuria_HR","albuminuria_lower","albuminuria_upper","albuminuria_p","model"
"Model 1",29951,702,2.55775486381417,2.05317969013034,3.18633092603293,5.45104225922958e-17,5.75153684417407,4.55981602214595,7.2547172757035,2.35795561226605e-49,"M1"
"Model 2",29951,702,1.70134940846459,1.34802207629234,2.14728665100515,7.66235079632444e-06,3.34607924320649,2.57139197583476,4.35415775075778,2.49118928573687e-19,"M2"
"Model 3",29675,679,1.36914013713038,1.06474242151555,1.76056168818104,0.0143275363195758,2.5773095882701,1.96311501578104,3.38366558270464,9.31792167165733e-12,"M3"
"Model 4",27113,631,1.25084585300687,0.969518836296572,1.61380603388903,0.0851008481212348,2.50224096620035,1.86531093415534,3.35665745494946,9.38794664427016e-10,"M4"
"Model 5",27113,631,1.24816357311187,0.968079793661435,1.60928088308827,0.0873119876941725,2.48407944381318,1.85842735111316,3.32036153012874,7.94936646833315e-10,"M5"
