"analysis","subclinical_HR","subclinical_lower","subclinical_upper","subclinical_p","albuminuria_HR","albuminuria_lower","albuminuria_upper","albuminuria_p"
"Cause-specific, survey-weighted",1.36914013713038,1.06474242151555,1.76056168818104,0.0143275363195758,2.5773095882701,1.96311501578104,3.38366558270464,9.31792167165733e-12
"Fine-Gray, survey-weighted",1.31935977973499,1.02808285739241,1.69316141774549,0.0294378566959827,2.1852936706473,1.66335391237504,2.87101162984154,1.97443523489658e-08
"Cause-specific, unweighted",1.42025848459293,1.18443065441853,1.70304116626268,0.000152474852329207,2.19080240078495,1.79020318416426,2.68104492369438,2.70103368152992e-14
"Fine-Gray, unweighted",1.36658327056716,1.13855367080334,1.64028265270651,0.000799139722212235,1.82867505378204,1.48932639133966,2.24534559500874,8.24890363545867e-09
