"horizon_years","uacr_category","adjusted_risk_percent","risk_lower","risk_upper","ARD_percentage_points","ARD_lower","ARD_upper"
5,"Normal UACR (<10 mg/g)",2.32040251800157,2.08441205242475,2.55639298357839,0,NA,NA
5,"Low-grade albuminuria (10-29 mg/g)",3.03054936424259,2.70407651180358,3.3570222166816,0.710146846241022,0.407851672409567,1.01244202007248
5,"Albuminuria (>=30 mg/g)",4.64780662536033,4.11327659972835,5.1823366509923,2.32740410735876,1.83271342794533,2.82209478677218
10,"Normal UACR (<10 mg/g)",6.00274196893129,5.51484377965132,6.49064015821126,0,NA,NA
10,"Low-grade albuminuria (10-29 mg/g)",7.68935065632098,6.98810176950062,8.39059954314134,1.68660868738969,0.970747180699079,2.4024701940803
10,"Albuminuria (>=30 mg/g)",11.3173523592853,10.1801716095036,12.454533109067,5.31461039035401,4.21283574925914,6.41638503144889
