"uacr_category","N","deaths","HR","lower","upper","p","p_trend"
"<5 mg/g",9178,635,1,NA,NA,NA,1.08520998202215e-26
"5-9 mg/g",10817,1015,1.18696455312188,1.04916830494835,1.34285876129014,0.00648285008358502,1.08520998202215e-26
"10-29 mg/g",6865,1034,1.47291667128602,1.28668409871784,1.68610424479027,1.96802271737158e-08,1.08520998202215e-26
">=30 mg/g",3091,748,2.33349687599357,2.00903366754501,2.71036158240477,1.35335509553743e-28,1.08520998202215e-26
