"uacr_category","N","deaths","person_years_unweighted","incidence_rate_per_1000_py","rate_lower","rate_upper"
"Normal UACR (<10 mg/g)",19995,1650,200132.500000004,5.99829673396771,5.57012605740228,6.42646741053314
"Low-grade albuminuria (10-29 mg/g)",6865,1034,63024.9166666672,12.5410436479937,11.5338891585041,13.5481981374834
"Albuminuria (>=30 mg/g)",3091,748,27158.4166666666,23.5073597547625,21.3043304043622,25.7103891051628
