"analysis","model","N","events","subclinical","subclinical_p","albuminuria","albuminuria_p"
"Multiple imputation","M3",29951,3432,"1.35 (1.21-1.51)","<0.001","2.11 (1.85-2.39)","<0.001"
"Multiple imputation","M4",29951,3432,"1.31 (1.18-1.47)","<0.001","2.02 (1.78-2.30)","<0.001"
"Multiple imputation","M5",29951,3432,"1.31 (1.18-1.47)","<0.001","2.02 (1.77-2.29)","<0.001"
