"model","C_statistic","SE","lower","upper","change_in_C","change_SE","change_lower","change_upper","method"
"Clinical model",0.815652163767287,0.00555549824295857,0.80467677524347,0.826627552291105,NA,NA,NA,NA,"Survey-weighted Harrell C; JKn design-based 95% CI"
"+ UACR category",0.821927926156468,0.00541389691771577,0.811232283839392,0.832623568473544,0.00627576238918093,0.00143000446393857,0.00345065941980962,0.00910086535855224,"Survey-weighted Harrell C; JKn design-based 95% CI"
"+ log2(UACR)",0.822375500203043,0.00539181910102397,0.8117234746068,0.833027525799286,0.00672333643575573,0.00134737326052797,0.00406147887155964,0.00938519399995183,"Survey-weighted Harrell C; JKn design-based 95% CI"
