"exposure","HR","confidence_limit_closest_to_null","E_value_point","E_value_confidence_limit"
"Low-grade albuminuria",1.32361901828253,1.18177900699452,1.97810223982201,1.64526861246419
"Albuminuria",2.0932669287538,1.84219921762802,3.60604566546996,3.08779094038523
