"analysis","N","events","subclinical_HR","subclinical_lower","subclinical_upper","subclinical_p","albuminuria_HR","albuminuria_lower","albuminuria_upper","albuminuria_p"
"2-year landmark",27786,3010,1.34289590382161,1.19276298504016,1.51192603318432,1.09308011196642e-06,2.06037974636091,1.80592553102363,2.35068646313894,6.02183399935192e-27
"No diabetes",25488,2627,1.34423964623991,1.17557956616109,1.5370973420574,1.52674522932409e-05,2.00172261564042,1.73746970263955,2.30616592846431,7.4241031711093e-22
"Women",15161,1445,1.27873079201725,1.09203289568565,1.49734723643687,0.00226343217569517,2.03156177882536,1.69644943057248,2.43287137642017,1.2930602255534e-14
"Men",14514,1902,1.36621935667228,1.18509256359008,1.57502914784272,1.70647484299495e-05,2.18857342852796,1.86301923062581,2.57101675244095,1.54294621063503e-21
"Self-report BP-treatment definition",29663,3345,1.32504373545036,1.18307256499506,1.48405174188414,1.1308666849576e-06,2.09272080118856,1.84159476232684,2.37809122903556,1.0176719690488e-29
"Exclude UACR-lowering medication users",25143,2745,1.34588684787318,1.19094972731149,1.52098058023589,1.93157501856251e-06,2.05189399729687,1.79368075689187,2.34727889005097,1.13149303911901e-25
"Additional adjustment for serum albumin",29675,3347,1.35554688136333,1.20910014857527,1.51973130574754,1.83753960414634e-07,2.07201412772439,1.81688999343913,2.36296229325527,1.65460858145098e-27
