"assay","model","N","deaths","subclinical_HR","subclinical_lower","subclinical_upper","albuminuria_HR","albuminuria_lower","albuminuria_upper"
"standard CRP","Model 3",16767,2860,1.34383947546211,1.19725322278855,1.5083730838528,1.95683445852152,1.71290292185978,2.23550386258882
"standard CRP","Model 3 + log CRP",16767,2860,1.3187144985096,1.1711817322059,1.48483184185604,1.88855867475775,1.64769037635063,2.16463840488181
"hs-CRP","Model 3",6375,116,0.692737842477705,0.370416577955869,1.29552980875991,1.66544202867747,1.17347816302065,2.36365467913401
"hs-CRP","Model 3 + log CRP",6375,116,0.693751812779578,0.371893467142023,1.29416518508283,1.67045894449263,1.16176155275425,2.40189828852575
