"reliability","corrected_HR","lower","upper"
1,1.1865493553064,1.15532761620433,1.21861483516122
0.8,1.23838949584062,1.19779209674309,1.28036288399164
0.7,1.27679914276009,1.22907615249357,1.32637513765562
0.6,1.32987150178741,1.27206291296959,1.39030718782427
