"component","NRI","SE","lower","upper","method"
"Events",0.00826875710772114,0.03836816662548,-0.0675310212820845,0.0840685354975267,"Survey- and IPCW-weighted categorical NRI; JKn design-based 95% CI"
"Non-events",0.0197330512053236,0.00891092984987429,0.00212870449622085,0.0373373979144264,"Survey- and IPCW-weighted categorical NRI; JKn design-based 95% CI"
"Total",0.0280018083130448,0.0394095750073804,-0.0498553663900086,0.105858983016098,"Survey- and IPCW-weighted categorical NRI; JKn design-based 95% CI"
