"assay","contrast","geometric_mean_ratio","lower","upper","p","uacr_by_bp_interaction_p"
"standard CRP","Low-grade vs normal",1.14222446019763,1.08016755685222,1.20784660601712,1.02664253979342e-05,0.538443277207965
"standard CRP","Albuminuria vs normal",1.20960914326709,1.12725247863384,1.29798275648824,8.84774825349378e-07,0.538443277207965
"hs-CRP","Low-grade vs normal",1.07675514889453,0.994042659320658,1.16634999494211,0.0665096384468813,0.445309023327078
"hs-CRP","Albuminuria vs normal",1.14227669133511,0.998707566127069,1.30648458449896,0.0518838896198614,0.445309023327078
