"analysis","N","events","subclinical_HR","subclinical_lower","subclinical_upper","subclinical_p","albuminuria_HR","albuminuria_lower","albuminuria_upper","albuminuria_p","interaction_p"
"eGFR 60-74",3993,933,1.3572565421051,1.11314471137874,1.65490192088808,0.00253167722660012,2.12469984213782,1.63869434949874,2.75484529531782,1.29290540848756e-08,0.551991933726322
"eGFR 75-89",7083,1071,1.24888149428261,1.03540535272746,1.50637137682647,0.0201390736710027,1.81396198456207,1.4343531279595,2.29403625738756,6.66130680620261e-07,0.551991933726322
"eGFR >=90",18599,1343,1.36092951175283,1.14120821107458,1.62295461773431,0.000603047217385308,2.30259272874479,1.86373671950366,2.84478661550456,1.06933928839474e-14,0.551991933726322
