"outcome","uacr","HR","lo","hi"
"death_allcause",1.7295670636702,0.740574612197867,0.5927580635189,0.925252290919758
"death_allcause",1.74838446639595,0.740711152224904,0.594368381710596,0.923085796474095
"death_allcause",1.76740659934164,0.740847717425877,0.595979532856655,0.920929847681772
"death_allcause",1.7866356899381,0.74098430780543,0.597591375076124,0.918784586447472
"death_allcause",1.80607398985024,0.741120923368203,0.599203759457999,0.916650161792983
"death_allcause",1.82572377524069,0.741257564118841,0.600816529686143,0.91452673023232
"death_allcause",1.84558734703639,0.741394230061987,0.602429521642154,0.912414456168882
"death_allcause",1.86566703119796,0.741530921202285,0.604042562984871,0.910313512315987
"death_allcause",1.88596517899207,0.741667637544381,0.605655472705093,0.908224080142185
"death_allcause",1.90648416726682,0.741804379092922,0.607268060654066,0.906146350342807
"death_allcause",1.92722639873,0.741941145852556,0.608880127044179,0.904080523339304
"death_allcause",1.94819430223046,0.742077937827929,0.610491461920268,0.902026809807985
"death_allcause",1.96939033304252,0.742214755023692,0.612101844599844,0.89998543123982
"death_allcause",1.9908169731535,0.742351597444494,0.613711043080494,0.89795662053308
"death_allcause",2.01247673155432,0.742488465094986,0.615318813412657,0.895940622620606
"death_allcause",2.03437214453328,0.742625357979819,0.616924899035892,0.893937695133569
"death_allcause",2.0565057759731,0.742762276103647,0.618529030076747,0.891948109103652
"death_allcause",2.07888021765113,0.742899219471122,0.620130922606266,0.889972149705577
"death_allcause",2.1014980895428,0.743036188086898,0.621730277855172,0.888010117041971
"death_allcause",2.12436204012845,0.743173181955631,0.623326781384739,0.886062326972526
"death_allcause",2.14747474670346,0.743310201081976,0.624920102211432,0.884129111989414
"death_allcause",2.17083891569171,0.743447245470591,0.626509891883365,0.882210822140865
"death_allcause",2.19445728296255,0.743584315126132,0.628095783506795,0.880307826004721
"death_allcause",2.21833261415112,0.743721410053259,0.62967739072093,0.878420511713668
"death_allcause",2.24246770498222,0.74385853025663,0.631254306619543,0.876549288033678
"death_allcause",2.26686538159766,0.743995675740906,0.632826102618096,0.87469458549692
"death_allcause",2.29152850088722,0.744132846510748,0.634392327265418,0.872856857590139
"death_allcause",2.31645995082316,0.744270042570817,0.635952504999337,0.871036581999066
"death_allcause",2.34166265079839,0.744407263925777,0.637506134846197,0.86923426190895
"death_allcause",2.36713955196834,0.744544510580292,0.639052689064795,0.867450427360676
