"outcome","uacr","HR","lo","hi"
"death_hd",1.7295670636702,0.662070426979688,0.344864087967758,1.27104347937222
"death_hd",1.74838446639595,0.662067516473809,0.347423344269699,1.26166938289998
"death_hd",1.76740659934164,0.662064605980724,0.34999860885123,1.25237509923569
"death_hd",1.7866356899381,0.662061695500434,0.352589850523551,1.24316025545844
"death_hd",1.80607398985024,0.662058785032939,0.355197030187081,1.23402449228933
"death_hd",1.82572377524069,0.662055874578239,0.357820100319042,1.22496746457994
"death_hd",1.84558734703639,0.662052964136333,0.360459004426404,1.21598884183568
"death_hd",1.86566703119796,0.662050053707221,0.363113676461575,1.20708830877681
"death_hd",1.88596517899207,0.662047143290904,0.365784040197998,1.19826556593993
"death_hd",1.90648416726682,0.662044232887381,0.36847000856262,1.18952033032277
"death_hd",1.92722639873,0.662041322496653,0.3711714829219,1.180852336076
"death_hd",1.94819430223046,0.662038412118718,0.373888352317773,1.17226133524524
"death_hd",1.96939033304252,0.662035501753579,0.376620492649686,1.16374709856744
"death_hd",1.9908169731535,0.662032591401233,0.379367765798485,1.1553094163257
"death_hd",2.01247673155432,0.662029681061681,0.382130018687581,1.14694809926712
"death_hd",2.03437214453328,0.662026770734923,0.384907082276453,1.13866297958873
"death_hd",2.0565057759731,0.66202386042096,0.387698770481105,1.13045391199669
"death_hd",2.07888021765113,0.66202095011979,0.390504879015664,1.12232077484474
"death_hd",2.1014980895428,0.662018039831414,0.3933251841488,1.11426347135816
"death_hd",2.12436204012845,0.662015129555832,0.396159441368131,1.10628193095004
"death_hd",2.14747474670346,0.662012219293044,0.399007383945196,1.09837611063733
"death_hd",2.17083891569171,0.66200930904305,0.401868721392963,1.09054599656466
"death_hd",2.19445728296255,0.662006398805849,0.404743137807171,1.08279160564467
"death_hd",2.21833261415112,0.662003488581441,0.407630290082101,1.0751129873242
"death_hd",2.24246770498222,0.662000578369828,0.41052980599058,1.06751022548663
"death_hd",2.26686538159766,0.661997668171007,0.413441282117225,1.05998344050122
"death_hd",2.29152850088722,0.66199475798498,0.416364281633055,1.05253279143146
"death_hd",2.31645995082316,0.661991847811747,0.419298331898653,1.04515847841516
"death_hd",2.34166265079839,0.661988937651307,0.422242921882118,1.03786074523009
"death_hd",2.36713955196834,0.66198602750366,0.425197499376992,1.03063988205992
"death_hd",2.39289363759652,0.661983117368806,0.428161468004302,1.0234962284764
"death_hd",2.41892792340386,0.661980207246746,0.431134183981749,1.01643017665469
"death_hd",2.44524545792182,0.661977297137479,0.434114952641977,1.00944217483991
"death_hd",2.47184932284938,0.661974387041004,0.437103024680729,1.00253273108415
"death_hd",2.49874263341389,0.661971476957323,0.440097592114633,0.995702417274119
"death_hd",2.52592853873588,0.661968566886434,0.443097783927307,0.988951873470821
"death_hd",2.55341022219775,0.661965656828339,0.446102661381577,0.982281812583399
"death_hd",2.58119090181661,0.661962746783036,0.44911121297481,0.975693025400191
"death_hd",2.60927383062104,0.661959836750526,0.452122349013854,0.969186386000474
"death_hd",2.63766229703203,0.661956926730808,0.455134895785825,0.962762857570686
"death_hd",2.66635962524807,0.661954016723884,0.458147589301201,0.956423498648616
"death_hd",2.69536917563435,0.661951106729751,0.461159068586468,0.950169469818382
"death_hd",2.72469434511628,0.661948196748412,0.464167868505033,0.944002040877422
"death_hd",2.75433856757726,0.661945382609636,0.467172415094789,0.937922864022939
"death_hd",2.78430531426079,0.661943578236536,0.470171053865315,0.93193593515884
"death_hd",2.8145980941769,0.661944112100277,0.473162069349866,0.926046350558656
"death_hd",2.84522045451306,0.661948315926119,0.476143681290684,0.920259136422144
"death_hd",2.87617598104957,0.661957521522106,0.479114045339001,0.914579241753696
"death_hd",2.90746829857943,0.661973060866298,0.482071254419637,0.909011539881698
"death_hd",2.93910107133276,0.66199626622081,0.485013340793171,0.903560829427115
"death_hd",2.97107800340593,0.662028470272664,0.487938278924794,0.898231834602827
"death_hd",3.00340283919523,0.662071006301482,0.490843989278415,0.893029204716255
"death_hd",3.03607936383538,0.662125208374038,0.493728343163406,0.887957512739481
"death_hd",3.06911140364273,0.662192411565728,0.496589168768885,0.883021252804075
"death_hd",3.10250282656333,0.662273952208987,0.499424258526039,0.878224836472662
"death_hd",3.13625754262582,0.662371168168725,0.502231377941952,0.873572587636911
"death_hd",3.17037950439933,0.662485399144878,0.50500827604768,0.869068735892779
"death_hd",3.20487270745626,0.662617987002137,0.50775269759801,0.864717408249738
"death_hd",3.2397411908402,0.662770276126997,0.510462397149204,0.860522619042324
"death_hd",3.27498903753883,0.662943613812245,0.513135155123032,0.856488257930922
"death_hd",3.3106203749621,0.663139350669045,0.515768795939283,0.852618075905334
